"年次， 年齢（5歳階級）","昭和55年_1980_人        口_総　　数","昭和55年_1980_人        口_男","昭和55年_1980_人        口_女","昭和55年_1980_年齢，男女別割合（％）_総　数","昭和55年_1980_年齢，男女別割合（％）_男","昭和55年_1980_年齢，男女別割合（％）_女","昭和55年_1980_人口性比_","昭和60年_1985_人        口_総　　数","昭和60年_1985_人        口_男","昭和60年_1985_人        口_女","昭和60年_1985_年齢，男女別割合（％）_総　数","昭和60年_1985_年齢，男女別割合（％）_男","昭和60年_1985_年齢，男女別割合（％）_女","昭和60年_1985_人口性比_","平成２年_1990_人        口_総　　数","平成２年_1990_人        口_男","平成２年_1990_人        口_女","平成２年_1990_年齢，男女別割合（％）_総　数","平成２年_1990_年齢，男女別割合（％）_男","平成２年_1990_年齢，男女別割合（％）_女","平成２年_1990_人口性比_","平成7年_1995_人        口_総　　数","平成7年_1995_人        口_男","平成7年_1995_人        口_女","平成7年_1995_年齢，男女別割合（％）_総　数","平成7年_1995_年齢，男女別割合（％）_男","平成7年_1995_年齢，男女別割合（％）_女","平成7年_1995_人口性比_","平成12年_2000_人        口_総　　数","平成12年_2000_人        口_男","平成12年_2000_人        口_女","平成12年_2000_年齢，男女別割合（％）_総　数","平成12年_2000_年齢，男女別割合（％）_男","平成12年_2000_年齢，男女別割合（％）_女","平成12年_2000_人口性比_","平成17年_2005_人        口_総　　数","平成17年_2005_人        口_男","平成17年_2005_人        口_女","平成17年_2005_年齢，男女別割合（％）_総　数","平成17年_2005_年齢，男女別割合（％）_男","平成17年_2005_年齢，男女別割合（％）_女","平成17年_2005_人口性比_","平成22年_2010_人        口_総　　数","平成22年_2010_人        口_男","平成22年_2010_人        口_女","平成22年_2010_年齢，男女別割合（％）_総　数","平成22年_2010_年齢，男女別割合（％）_男","平成22年_2010_年齢，男女別割合（％）_女","平成22年_2010_人口性比_","平成27年_2015_人        口_総　　数","平成27年_2015_人        口_男","平成27年_2015_人        口_女","平成27年_2015_年齢，男女別割合（％）_総　数","平成27年_2015_年齢，男女別割合（％）_男","平成27年_2015_年齢，男女別割合（％）_女","平成27年_2015_人口性比_"
"   45  ～  49 ","78983.0","39180.0","39803.0","7.266065140035252","3.604376032647294","3.661689107387959","98.43479134738587","72634.0","35691.0","36943.0","6.680794624017896","3.28281852749157","3.3979760965263255","96.61099531711014","77558.0","37674.0","39884.0","7.219230679729133","3.506760058641473","3.7124706210876592","94.45893089960886","89314.0","43977.0","45337.0","8.266485258252464","4.070305016035208","4.196180242217255","97.00024262743455","72993.0","35763.0","37230.0","6.8223367903154655","3.342611354952557","3.4797254353629086","96.05962933118452","63132.0","30672.0","32460.0","6.094004743385178","2.960706353182383","3.1332983902027953","94.49168207024029","61994.0","29160.0","32834.0","6.2404371144647195","2.9353025495659457","3.305134564898774","88.81037948468051","61294.0","29207.0","32087.0","6.39191598969685","3.0457906207960956","3.346125368900754","91.0244024059588"
"   50  ～  54 ","75143.0","37159.0","37984.0","6.912803170526176","3.4184535221322303","3.4943496483939462","97.82803285593934","76608.0","37511.0","39097.0","7.046318728925336","3.45022010548139","3.5960986234439467","95.94342276901041","70807.0","34526.0","36281.0","6.590836106392387","3.2137388592837364","3.37709724710865","95.16275736611449","76901.0","37206.0","39695.0","7.117596153401176","3.4436129892126783","3.673983164188498","93.72968887769241","87829.0","42988.0","44841.0","8.208992889134807","4.017900537614309","4.191092351520498","95.86762115028658","71341.0","34811.0","36530.0","6.886402971517487","3.360235682727958","3.5261672887895292","95.29427867506159","61855.0","29917.0","31938.0","6.22644510299731","3.011503647989177","3.2149414550081334","93.6721147222744","61287.0","28898.0","32389.0","6.391186009406318","3.0135672051140334","3.377618804292284","89.22164932538826"
"   55  ～  59 ","60133.0","26373.0","33760.0","5.531953649085751","2.4261921671517883","3.1057614819339623","78.11907582938389","72673.0","35377.0","37296.0","6.684381800689105","3.2539371563438757","3.4304446443452297","94.8546761046761","74222.0","35796.0","38426.0","6.9087101203081005","3.3319526214134454","3.5767574988946547","93.1556758444803","69838.0","33644.0","36194.0","6.463877975074854","3.113930962991758","3.349947012083096","92.95463336464607","75737.0","36296.0","39441.0","7.078806481280703","3.3924285361786763","3.686377945102027","92.02606424786389","85602.0","41353.0","44249.0","8.262988564329628","3.9917217600140544","4.271266804315573","93.45521932699043","69965.0","33871.0","36094.0","7.042813541851213","3.4095210101628313","3.6332925316883826","93.84108162021388","61026.0","29402.0","31624.0","6.363968172859333","3.0661257860323485","3.2978423868269844","92.97369086769542"
"   60  ～  64 ","49131.0","21094.0","28037.0","4.519821308320424","1.9405489543813683","2.579272353939055","75.23629489603024","57589.0","24825.0","32764.0","5.296972238931721","2.2833759195589427","3.0135963193727777","75.76913685752655","69841.0","33438.0","36403.0","6.5009191818118355","3.1124659670025365","3.388453214809299","91.85506689009148","71965.0","34025.0","37940.0","6.660743126611041","3.149194537385405","3.511548589225636","89.6810753821824","68497.0","32582.0","35915.0","6.402115314156679","3.0452971833197497","3.3568181308369285","90.7197549770291","73992.0","35048.0","38944.0","7.142298659515873","3.383112815151805","3.7591858443640684","89.99589153656532","83821.0","40178.0","43643.0","8.437585562660052","4.04439594775242","4.393189614907633","92.06058245308526","68832.0","33098.0","35734.0","7.178000479701334","3.451555379433327","3.7264451002680072","92.62327195388146"
"   65  ～  69 ","45130.0","19038.0","26092.0","4.1517480947772425","1.751406608206717","2.4003414865705253","72.96489345393225","46002.0","19228.0","26774.0","4.231212852026204","1.7685700777957443","2.4626427742304586","71.81594083812654","54351.0","22837.0","31514.0","5.059083610639239","2.1257068391780884","2.93337677146115","72.46620549597004","66416.0","30992.0","35424.0","6.147153692725615","2.8684742719367664","3.2786794207888494","87.48870822041553","68558.0","31676.0","36882.0","6.407816717636591","2.9606173217984284","3.447199395838162","85.88471341033568","65569.0","30706.0","34863.0","6.329243442612666","2.963988304669348","3.3652551379433167","88.0761839199151","70825.0","33101.0","37724.0","7.129382821433748","3.3320113063505614","3.7973715150831873","87.74520199342594","80784.0","38219.0","42565.0","8.424389684335665","3.9855881034069225","4.438801580928743","89.78973334899565"
"   70  ～  74 ","36809.0","15576.0","21233.0","3.386255165536351","1.4329188638211905","1.9533363017151604","73.3575095370414","40366.0","16338.0","24028.0","3.712819833591794","1.5027510885701514","2.2100687450216427","67.99567171633095","41694.0","16820.0","24874.0","3.8809485025481116","1.5656342354501664","2.315314267097945","67.62080887673876","50023.0","20304.0","29719.0","4.629894440665103","1.879243082647267","2.7506513580178353","68.31993001110402","61293.0","27658.0","33635.0","5.728788909742109","2.585072417170758","3.1437164925713517","82.22982012784303","63576.0","28392.0","35184.0","6.13686316868555","2.7406225475858834","3.3962406210996656","80.69577080491132","61097.0","27692.0","33405.0","6.150143342621076","2.787530802557619","3.3626125400634574","82.89776979494088","66362.0","30215.0","36147.0","6.92042172004213","3.150907782632726","3.769513937409404","83.58923285473206"
"   75  ～  79 ","25349.0","10576.0","14773.0","2.3319889752827017","0.9729423410229141","1.3590466342597873","71.59006295268395","30132.0","11870.0","18262.0","2.7715078835105764","1.0917894124940444","1.6797184710165323","64.99835724455153","33854.0","12857.0","20997.0","3.1511879552277007","1.1967514485839947","1.9544365066437066","61.232557031956944","35719.0","13551.0","22168.0","3.3059832382327485","1.2542170514653819","2.0517661867673667","61.128653915553954","43981.0","16823.0","27158.0","4.110711909016816","1.572372307255176","2.53833960176164","61.944914942190145","54032.0","23085.0","30947.0","5.215600080697396","2.2283485316645577","2.9872515490328375","74.59527579409959","56324.0","23812.0","32512.0","5.669683840938008","2.3969624249061834","3.2727214160318256","73.24064960629921","54721.0","23834.0","30887.0","5.706464496887156","2.4854786063633423","3.220985890523813","77.16515038689417"
"   80  ～  84 ","14040.0","5434.0","8606.0","1.29161407601756","0.4999024849771667","0.7917115910403933","63.141993957703924","17402.0","6581.0","10821.0","1.6006166264718922","0.6053130685445077","0.9953035579273845","60.816930043434056","21637.0","7752.0","13885.0","2.0140087962208826","0.7215693575035488","1.2924394387173341","55.83003240907453","25512.0","8632.0","16880.0","2.361271154673812","0.7989374650025222","1.5623336896712898","51.13744075829384","28228.0","9713.0","18515.0","2.638347826737152","0.9078316721375216","1.7305161545996306","52.460167431812046","35606.0","12510.0","23096.0","3.4369754307320006","1.207565091233425","2.229410339498576","54.16522341531002","43657.0","16964.0","26693.0","4.3945988822496735","1.7076293707419994","2.6869695115076744","63.55224216086614","46214.0","18032.0","28182.0","4.819329878093291","1.8804292284108328","2.938900649682459","63.98410332836562"
"   85 歳  以 上","6622.0","2169.0","4453.0","0.6091929067940373","0.1995378155898923","0.40965509120414495","48.70873568380867","9631.0","3223.0","6408.0","0.8858486800109638","0.29644795926438966","0.5894007207465742","50.29650436953808","13016.0","4058.0","8958.0","1.2115514392758244","0.3777255486002839","0.8338258906755405","45.30029024335789","17905.0","5204.0","12701.0","1.6572028858746708","0.4816578507730682","1.1755450351016026","40.97315172033698","24263.0","6623.0","17640.0","2.2677566005428482","0.6190228729091738","1.6487337276336747","37.5453514739229","30690.0","8161.0","22529.0","2.9624438569107765","0.7877648848565932","2.174678972054183","36.224421856274134","38943.0","10335.0","28608.0","3.92007843579378","1.0403412842854611","2.8797371515083188","36.12625838926174","48158.0","14163.0","33995.0","5.022055833063936","1.4769586935438457","3.5450971395200903","41.66200911898809"
"   (再掲)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    15 歳  未 満　　","243977.0","125814.0","118163.0","22.444738420551015","11.574297247868468","10.870441172682547","106.47495408884338","225208.0","115824.0","109384.0","20.714381635127104","10.653362840160927","10.061018794966179","105.8875155415783","192839.0","98923.0","93916.0","17.949782421520492","9.207921252879716","8.741861168640774","105.3313599386686","175660.0","90220.0","85440.0","16.25826634642528","8.350340372164915","7.907925974260367","105.59456928838951","159496.0","81812.0","77684.0","14.907394252985293","7.6466101885014846","7.260784064483808","105.3138355388497","142670.0","73118.0","69552.0","13.771647607216044","7.057933200703882","6.713714406512164","105.12709914883828","128005.0","65421.0","62584.0","12.885233294142278","6.58540562740582","6.2998276667364586","104.53310750351528","116412.0","59450.0","56962.0","12.139780797347044","6.199618324590951","5.940162472756093","104.36782416347741"
"    15 ～ 64 歳　","714680.0","344610.0","370070.0","65.74720426269444","31.702501904302803","34.044702358391625","93.12022049882455","718380.0","347063.0","371317.0","66.07579428369601","31.922469154879572","34.153325128816434","93.46811484526698","716161.0","347069.0","369092.0","66.66148511856281","32.30577339259535","34.35571172596747","94.0331949757784","709092.0","344479.0","364613.0","65.6302322675589","31.883361794092195","33.74687047346671","94.47798076316532","683805.0","332385.0","351420.0","63.91226568166354","31.06657369951921","32.845691982144324","94.58340447327983","642428.0","311230.0","331198.0","62.01228029024034","30.04240474377129","31.969875546469055","93.97097808561647","594573.0","289111.0","305462.0","59.8","29.102477894635122","30.74840148818631","94.64712468326665","546279.0","266634.0","279645.0","56.967557590230776","27.8053663979644","29.16219119226638","95.34731534624255"
"    65 歳  以 上　　","127950.0","52793.0","75157.0","11.770799218407893","4.856708113617881","6.914091104790011","70.24362334845723","143533.0","57240.0","86293.0","13.20200587561143","5.264871606668837","7.937134268942591","66.3321474511258","164552.0","64324.0","100228.0","15.31678030391176","5.987387429316082","9.329392874595676","64.1776749012252","195575.0","78683.0","116892.0","18.10150541217195","7.282529721825005","10.818975690346944","67.31256202306403","226323.0","92493.0","133830.0","21.153421963675516","8.644916591271059","12.50850537240446","69.11230665770007","249473.0","102854.0","146619.0","24.081125979638387","9.928289360009806","14.15283661962858","70.15052619374023","270846.0","111904.0","158942.0","27.263887323036286","11.264475188841825","15.999412134194463","70.4055567439695","296239.0","124463.0","171776.0","30.892661612422177","12.97936241435767","17.91329919806451","72.45657134873323"
